Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
30.38778475,64.94448396,25.57303591,47.12366164,0.0,,3.790092468,3.504452944
31.38773152,64.94448556,25.57303789,46.83514968,0.0,,3.790092468,3.359032631
32.3875226,64.94447886,25.57303893,46.54504312,0.9200000167,216.1999969,3.790092468,3.288426638
33.38729614,64.94447163,25.57302781,45.03380745,1.279999971,249.8000031,3.790092468,3.34179163
34.38747812,64.94445992,25.57303254,43.29282894,1.480000019,248.1999969,3.790092468,3.334242344
35.38986712,64.94445079,25.57302926,41.97464455,1.179999948,244.8000031,3.790092468,3.132519722
36.38861951,64.94444501,25.5730087,41.68942478,1.179999948,242.8000031,3.99777627,3.424418926
37.39068685,64.9444347,25.57298642,39.92110773,1.279999971,227.1000061,3.790092468,3.207559347
38.38622284,64.94442618,25.57296553,39.15181561,1.320000052,230.1000061,3.790092468,3.063192368
39.38603898,64.94441967,25.5729416,39.04787005,1.370000005,233.1999969,3.790092468,2.752795458
40.38548767,64.94441339,25.57292273,38.30427555,1.320000052,235.1000061,3.790092468,2.589198351
41.38543772,64.94440621,25.5729026,37.80451583,1.340000033,232.6999969,3.790092468,2.5
42.39161246,64.9443969,25.57288293,37.52838685,1.399999976,226.0,3.790092468,2.5
43.39190506,64.94438763,25.57286296,36.72119105,1.399999976,225.3999939,3.790092468,2.5
44.39183781,64.94438037,25.57284321,36.65154595,1.320000052,231.8000031,3.790092468,2.5
45.38626213,64.94437103,25.57282528,35.83812421,1.460000038,219.3999939,3.790092468,2.5
46.38578192,64.94435943,25.57280935,35.1402396,1.5,211.6999969,3.790092468,2.5
47.39141535,64.94434856,25.57279586,34.68680114,1.399999976,205.8999939,3.790092468,2.5
48.39064748,64.94433789,25.57278896,33.95302743,1.389999986,199.8999939,3.790092468,2.5
49.39111581,64.94432576,25.57278923,33.71253746,1.429999948,186.5,3.790092468,2.5
50.38553007,64.94431419,25.5727955,33.20666629,1.370000005,177.1999969,3.790092468,2.5
51.38583851,64.94430305,25.57280688,33.18834361,1.409999967,168.3000031,3.790092468,2.5
52.39127454,64.94429328,25.57282485,33.11893485,1.379999995,151.3000031,3.790092468,2.5
53.39087376,64.94428542,25.57284523,33.55160274,1.330000043,136.3000031,3.790092468,2.5
54.39112969,64.94427844,25.57286408,34.21144452,1.149999976,134.6000061,3.790092468,2.5
55.38586823,64.94426944,25.57288224,34.68939974,1.320000052,143.6000061,3.790092468,2.5
56.3861515,64.94426167,25.57290142,34.71398683,1.25999999,141.1000061,3.790092468,2.5
57.39029801,64.94425581,25.57292306,35.58067741,1.25999999,135.3999939,3.790092468,2.5
58.39116577,64.94424945,25.57294221,36.07688449,1.190000057,143.1000061,3.790092468,2.5
59.38952248,64.94424156,25.57296412,35.9539491,1.370000005,143.8000031,3.790092468,2.5
60.38527727,64.94423527,25.57298865,36.09065839,1.159999967,133.5,3.790092468,2.5
